helloworld,python,java,node,go
1,0.00491786003112793,0.005019187927246094,0.004439115524291992,0.003968954086303711
10,0.01714198589324951,0.014231443405151367,0.014032554626464844,0.01364884376525879
20,0.019190597534179687,0.013671934604644775,0.01804872751235962,0.015339744091033936
30,0.01931596597035726,0.0155257781346639,0.01441968282063802,0.01467459996541341
40,0.0181380033493042,0.015311348438262939,0.01457645297050476,0.014816349744796753
50,0.016919751167297364,0.017783851623535157,0.014024500846862792,0.013818168640136718
60,0.019976353645324706,0.015834295749664308,0.015035176277160644,0.013498711585998534
70,0.019457425389971052,0.016931516783578054,0.015167737007141113,0.014588604654584612
80,0.021776437759399414,0.015164107084274292,0.01530683934688568,0.013938575983047485
90,0.020018156369527182,0.015748943222893608,0.014088580343458388,0.01435195075141059
100,0.021414151191711427,0.015886223316192626,0.014492654800415039,0.014294221401214599
110,0.019393938237970525,0.015373223478143865,0.014603265849026766,0.015243974598971281
120,0.0207792063554128,0.017728251218795777,0.01536299188931783,0.015248473485310872
130,0.02045583908374493,0.015181642312269945,0.01341553284571721,0.014081434103158805
140,0.02042020218712943,0.015241069453103202,0.01485980578831264,0.014087300641196114
150,0.09938025951385498,0.014674431482950846,0.014449771245320637,0.01393308162689209
160,0.02034110724925995,0.015315517783164978,0.015006451308727265,0.013550026714801789
170,0.021520394437453325,0.01696464454426485,0.014601857521954704,0.014777030664331772
180,0.02033307287428114,0.015784351030985515,0.016749567455715604,0.018595092826419406
190,0.020365530566165323,0.015507915145472477,0.014676554579483836,0.013716819411829898
200,0.01945036292076111,0.015080947875976563,0.01557542085647583,0.014332772493362426
210,0.020680239087059384,0.015461963698977515,0.017054698580787297,0.01414794127146403
220,0.020674150640314276,0.01516749533739957,0.01486601396040483,0.01427044001492587
230,0.020384485825248388,0.014365855507228685,0.015366598834162174,0.013776124042013418
240,0.01966672738393148,0.014540704091389973,0.014582653840382894,0.01418728729089101
250,0.020918477058410646,0.014468942642211914,0.015000067710876464,0.013713980674743652
260,1.1555266389480003,0.022481615726764385,0.01863328952055711,0.014576146235832801
270,0.11154946309548837,0.017445061824939868,0.015257764745641637,0.02108866638607449
280,0.14472175070217677,0.01473076343536377,0.020954651491982595,0.016098810945238386
290,0.18093673607398725,0.021794782835861733,0.018462531319979963,0.013654538680767192
300,0.18253166993459066,0.018771852652231854,0.019018934567769367,0.014888025919596355
310,0.17426875714332826,0.017370123247946463,0.01604504200720018,0.018193300308719757
320,0.2044134557247162,0.02029220908880234,0.015886173397302628,0.01800000071525574
330,0.10347260850848573,0.01802213986714681,0.014039276585434423,0.014636976068670099
340,0.22928409155677346,0.014881073727327235,0.014863411118002498,0.01381897715961232
350,0.21197010993957519,0.014387697492327009,0.014554766927446637,0.014561856133597237
360,0.1786576747894287,0.016321931944953072,0.04786580933464898,0.014328708913591172
370,0.48747211920248495,0.023361063647914578,0.016324393813674513,0.014465116165779732
380,0.27131036269037345,0.021015755126350805,0.01628505744432148,0.014564529845589086
390,0.14695069178556786,0.02073040314209767,0.016101894623193985,0.016831078896155725
400,0.49251285314559934,0.015138152241706847,0.014677488207817078,0.018978156447410584
410,0.5088727410246686,0.016467071161037537,0.02181159694020341,0.014098097056877323
420,0.49577847832725164,0.02012340568360828,0.016710795675005233,0.015082795847029913
